場所,芝・ダ,トラックコード,距離,右左,坂,高低差,距離区分,スタート区分,直線距離,コーナー回数,コースID
小倉,芝,0,2600,右,なし,平坦,長距離,向正面,293,6,小倉芝2600
新潟,ダ,1,1200,左,なし,平坦,短距離,向正面,658.7,1,新潟ダ1200
新潟,ダ,1,1800,左,なし,平坦,マイル,4角,658.7,4,新潟ダ1800
新潟,ダ,1,2500,左,なし,平坦,長距離,向正面,658.7,6,新潟ダ2500
新潟,芝,0,1000,左,なし,平坦,短距離,直線,658.7,0,新潟芝1000
新潟,芝,0,1200,左,なし,平坦,短距離,内回り,658.7,2,新潟芝1200
新潟,芝,0,1400,左,なし,平坦,短距離,内回り,658.7,2,新潟芝1400
新潟,芝,8,1600,左,なし,平坦,マイル,外回り,658.7,2,新潟芝1600
新潟,芝,8,1800,左,なし,平坦,マイル,外回り,658.7,2,新潟芝1800
新潟,芝,8,2000,左,なし,平坦,中距離,外回り,658.7,2,新潟芝2000
新潟,芝,0,2200,左,なし,平坦,中距離,内回り,658.7,4,新潟芝2200
新潟,芝,0,2400,左,なし,平坦,長距離,内回り,658.7,4,新潟芝2400
中京,ダ,1,1200,左,あり,急坂,短距離,向正面,412.5,1,中京ダ1200
中京,ダ,1,1400,左,あり,急坂,短距離,向正面,412.5,1,中京ダ1400
中京,ダ,1,1800,左,あり,急坂,マイル,2角,412.5,4,中京ダ1800
中京,ダ,1,1900,左,あり,急坂,中距離,向正面,412.5,4,中京ダ1900
中京,芝,0,1200,左,あり,急坂,短距離,向正面,412.5,2,中京芝1200
中京,芝,0,1400,左,あり,急坂,短距離,向正面,412.5,2,中京芝1400
中京,芝,0,1600,左,あり,急坂,マイル,向正面,412.5,2,中京芝1600
中京,芝,0,2000,左,あり,急坂,中距離,4角,412.5,4,中京芝2000
中京,芝,0,2200,左,あり,急坂,中距離,向正面,412.5,4,中京芝2200
中京,芝,0,3000,左,あり,急坂,長距離,向正面,412.5,6,中京芝3000
中山,ダ,1,1200,右,あり,急坂,短距離,向正面,310,1,中山ダ1200
中山,ダ,1,1800,右,あり,急坂,マイル,4角,310,4,中山ダ1800
中山,ダ,1,2400,右,あり,急坂,長距離,向正面,310,6,中山ダ2400
中山,ダ,1,2500,右,あり,急坂,長距離,向正面,310,6,中山ダ2500
中山,芝,8,1200,右,あり,急坂,短距離,外回り,310,2,中山芝1200
中山,芝,8,1600,右,あり,急坂,マイル,2角,310,2,中山芝1600
中山,芝,0,1800,右,あり,急坂,マイル,向正面,310,4,中山芝1800
中山,芝,0,2000,右,あり,急坂,中距離,4角,310,4,中山芝2000
中山,芝,8,2200,右,あり,急坂,中距離,外回り,310,4,中山芝2200
中山,芝,0,2500,右,あり,急坂,長距離,向正面,310,6,中山芝2500
中山,芝,0,3600,右,あり,急坂,長距離,4角,310,8,中山芝3600
東京,ダ,1,1300,左,あり,急坂,短距離,向正面,525.9,1,東京ダ1300
東京,ダ,1,1400,左,あり,急坂,短距離,向正面,525.9,1,東京ダ1400
東京,ダ,1,1600,左,あり,急坂,マイル,2角,525.9,2,東京ダ1600
東京,ダ,1,2100,左,あり,急坂,中距離,向正面,525.9,2,東京ダ2100
東京,芝,0,1400,左,あり,急坂,短距離,向正面,525.9,2,東京芝1400
東京,芝,0,1600,左,あり,急坂,マイル,2角,525.9,2,東京芝1600
東京,芝,0,1800,左,あり,急坂,マイル,向正面,525.9,2,東京芝1800
東京,芝,0,2000,左,あり,急坂,中距離,4角,525.9,2,東京芝2000
東京,芝,0,2300,左,あり,急坂,長距離,向正面,525.9,3,東京芝2300
東京,芝,0,2400,左,あり,急坂,長距離,2角,525.9,2,東京芝2400
東京,芝,0,2500,左,あり,急坂,長距離,向正面,525.9,3,東京芝2500
東京,芝,0,3400,左,あり,急坂,長距離,向正面,525.9,4,東京芝3400
函館,ダ,1,1000,右,なし,平坦,短距離,直線,262.1,1,函館ダ1000
函館,ダ,1,1700,右,なし,平坦,マイル,向正面,262.1,4,函館ダ1700
函館,ダ,1,2400,右,なし,平坦,長距離,向正面,262.1,6,函館ダ2400
函館,芝,0,1000,右,なし,平坦,短距離,直線,262.1,1,函館芝1000
函館,芝,0,1200,右,なし,平坦,短距離,向正面,262.1,2,函館芝1200
函館,芝,0,1800,右,なし,平坦,マイル,向正面,262.1,4,函館芝1800
函館,芝,0,2000,右,なし,平坦,中距離,4角,262.1,4,函館芝2000
函館,芝,0,2600,右,なし,平坦,長距離,向正面,262.1,6,函館芝2600
福島,ダ,1,1150,右,あり,緩坂,短距離,向正面,292,1,福島ダ1150
福島,ダ,1,1700,右,あり,緩坂,マイル,向正面,292,4,福島ダ1700
福島,ダ,1,2400,右,あり,緩坂,長距離,向正面,292,6,福島ダ2400
福島,芝,0,1200,右,あり,緩坂,短距離,向正面,292,2,福島芝1200
福島,芝,0,1800,右,あり,緩坂,マイル,向正面,292,4,福島芝1800
福島,芝,0,2000,右,あり,緩坂,中距離,4角,292,4,福島芝2000
福島,芝,0,2600,右,あり,緩坂,長距離,向正面,292,6,福島芝2600
