調教師,ルール区分,判定ルール概要,該当n,勝率,厩舎全体勝率,勝率差pt,複勝率,厩舎全体複勝率,複勝率差pt,非勝利時2-3着率,厩舎全体非勝利2-3着率,非勝利2-3着差pt,単勝回収率,厩舎全体単回,勝率プラス年度,複勝プラス年度,相手プラス年度,比較年度数,総合タイプ,主タイプ,副タイプ,再集計評価,信頼度,判定理由,Nexus用途
斉藤崇史,既存BJ,当週坂路LAP1<=12.0,83,19.27710843373494,14.42786069651741,4.849247737217528,40.96385542168674,33.4044065387349,7.559448882951848,26.86567164179105,22.17607973421927,4.689591907571778,101.0843373493976,73.68159203980099,3,4,3,6,軸,軸,相手にも有効,既存・継続,MID,勝19.3%（差+4.8pt） / 複41.0%（差+7.6pt） / 非勝利2-3着26.9%（差+4.7pt） / 単回101% / 年度 勝3/6・複4/6・相手3/6,馬連・ワイド・三連複などの軸候補補強
辻野泰之,既存BJ,芝＋当週坂路LAP1/LAP2<13かつ減速（LAP1<=LAP2）,128,17.1875,10.45751633986928,6.729983660130719,39.0625,28.29131652661064,10.77118347338936,26.41509433962264,19.91657977059437,6.498514569028274,163.125,107.516339869281,6,6,5,7,単🔥・軸,軸,単🔥,既存・継続,HIGH,勝17.2%（差+6.7pt） / 複39.1%（差+10.8pt） / 非勝利2-3着26.4%（差+6.5pt） / 単回163% / 年度 勝6/7・複6/7・相手5/7,馬連・ワイド・三連複などの軸候補補強
鹿戸雄一,既存BJ,当週W5F<70＋前週土日坂路LAP1またはLAP2<13,382,15.44502617801047,11.55853840417599,3.886487773834483,37.17277486910995,31.17076808351976,6.00200678559019,25.69659442724458,22.17537942664418,3.521215000600399,162.9319371727749,100.6711409395973,6,5,5,6,単🔥・軸,単🔥,軸,既存・継続,HIGH,勝15.4%（差+3.9pt） / 複37.2%（差+6.0pt） / 非勝利2-3着25.7%（差+3.5pt） / 単回163% / 年度 勝6/6・複5/6・相手5/6,単勝候補の補強。Core勝率へ固定加点しない
斎藤誠,既存BJ,ダート＋前日坂路あり＋前週土日坂路<62＋当週坂路<56,103,16.50485436893204,10.05405405405405,6.450800314877986,33.00970873786408,27.56756756756757,5.442141170296512,19.76744186046512,19.47115384615385,0.2962880143112691,455.8252427184466,105.7891891891892,5,4,4,7,🔥 単勝妙味型,単🔥,,既存・継続,HIGH,勝16.5%（差+6.5pt） / 複33.0%（差+5.4pt） / 非勝利2-3着19.8%（差+0.3pt） / 単回456% / 年度 勝5/7・複4/7・相手4/7,単勝候補の補強。Core勝率へ固定加点しない
木村哲也,既存BJ,当週W1F<12＋前週土日坂路<56・LAP1<12,62,30.64516129032258,19.8019801980198,10.84318109230278,59.67741935483871,43.56435643564357,16.11306291919514,41.86046511627907,29.62962962962963,12.23083548664944,149.0322580645161,81.45214521452145,5,5,3,6,単🔥・軸,軸,単🔥,既存・継続,MID,勝30.6%（差+10.8pt） / 複59.7%（差+16.1pt） / 非勝利2-3着41.9%（差+12.2pt） / 単回149% / 年度 勝5/6・複5/6・相手3/6,馬連・ワイド・三連複などの軸候補補強
武幸四郎,既存BJ,芝＋前週土日坂路あり＋（当週坂路<13減速 or W4F<52）,67,13.43283582089552,11.26346718903036,2.16936863186516,32.83582089552239,32.22331047992164,0.6125104156007453,22.41379310344828,23.62030905077262,-1.206515947324348,90.44776119402984,72.65426052889325,5,3,2,7,○ 勝率補助,○勝率補助,,既存・継続,MID,勝13.4%（差+2.2pt） / 複32.8%（差+0.6pt） / 非勝利2-3着22.4%（差-1.2pt） / 単回90% / 年度 勝5/7・複3/7・相手2/7,勝率面の補助根拠。単勝妙味とは区別
安田翔伍,既存BJ,現行: ダート＋前週土日坂路あり＋前日坂路あり＋当週W4F<53,11,18.18181818181818,11.90864600326264,6.273172178555541,18.18181818181818,31.72920065252855,-13.54738247071037,0,22.5,-22.5,53.63636363636364,85.26916802610116,1,0,0,2,補,補,小標本,再監査・小標本保留,LOW,n=11。勝18.2%だが複18.2%・非勝利2-3着0%、単回54%。前日条件を外してもn=28で年度安定せず。,現行判定は強調しない。母数増加待ち。
高野友和,既存BJ,芝＋当週坂路 LAP1<12・LAP2<13・LAP2>LAP1,36,19.44444444444445,13.66559485530547,5.77884958913898,41.66666666666667,34.48553054662379,7.181136120042879,27.58620689655172,24.11545623836126,3.470750658190457,86.11111111111111,94.65434083601286,3,3,2,4,軸,軸,小標本・芝限定新式,修正採用・監視継続,LOW,現行式n=116は勝/複とも厩舎平均未満で単回285%は大穴依存。依頼式の芝限定はn=36、勝19.4% vs 13.7%、複41.7% vs 34.5%、3/4年度プラス。単回86%なので軸型候補。,BJを芝＋LAP1<12・LAP2<13・減速へ変更。軸として使用し単勝妙味扱いしない。
上村洋行,既存BJ,芝＋前週土日坂路あり＋当週ウッドあり＋前日坂路あり,98,23.46938775510204,15.4320987654321,8.037288989669943,56.12244897959184,35.44973544973545,20.67271352985639,42.66666666666666,23.67049009384776,18.99617657281891,130.8163265306123,90.98765432098766,5,5,5,6,軸・単🔥,軸,単🔥,既存・継続,MID,勝23.5%（差+8.0pt） / 複56.1%（差+20.7pt） / 非勝利2-3着42.7%（差+19.0pt） / 単回131% / 年度 勝5/6・複5/6・相手5/6,馬連・ワイド・三連複などの軸候補補強
藤岡健一,既存BJ,前週土日坂路<58＋当週W4F<54,363,9.917355371900827,10.24318349299926,-0.3258281210984357,28.92561983471074,27.92925571112749,0.9963641235832554,21.10091743119266,19.70443349753695,1.396483933655713,95.75757575757576,87.22918201915991,4,5,2,6,○ 安定補助,○安定補助,,既存・継続,HIGH,勝9.9%（差-0.3pt） / 複28.9%（差+1.0pt） / 非勝利2-3着21.1%（差+1.4pt） / 単回96% / 年度 勝4/6・複5/6・相手2/6,軸/相手の弱い補助根拠
奥村豊,既存BJ,当週W5F<68＋W1F<12＋前週土日坂路あり,49,8.163265306122449,9.416058394160585,-1.252793088038135,34.69387755102041,26.4963503649635,8.197527186056902,28.88888888888889,18.85576148267526,10.03312740621362,66.93877551020407,65.73722627737226,2,4,4,5,複・紐,複・紐,前日追いは別Aux,正式再定義・相手型,MID,現行複合式はn=3で過剰制約。簡素化するとn=49、勝8.2% vs 9.4%だが複34.7% vs 26.5%、非勝利2-3着28.9% vs 18.9%、複/相手4/5年度プラス。,BJ条件は相手型検出用。CE本命候補には使わずCF相手候補へ接続。前日追いは別Aux。
友道康夫,既存BJ,栗東芝＋当週坂路LAP1<13・LAP2>=13（水または木）,194,25.77319587628866,16.36500754147813,9.408188334810532,52.06185567010309,38.5369532428356,13.5249024272675,35.41666666666666,26.51036970243463,8.906296964232038,139.7422680412371,74.81900452488688,6,6,5,7,単🔥・軸,軸,単🔥,既存・継続,HIGH,勝25.8%（差+9.4pt） / 複52.1%（差+13.5pt） / 非勝利2-3着35.4%（差+8.9pt） / 単回140% / 年度 勝6/7・複6/7・相手5/7,馬連・ワイド・三連複などの軸候補補強
池添学,既存BJ,当週坂路LAP1<=12.0,93,18.27956989247312,11.7359413202934,6.54362857217972,38.70967741935484,32.02933985330073,6.680337566054106,25,22.99168975069252,2.008310249307478,103.7634408602151,78.34555827220863,5,3,2,7,○ 勝率補助,○勝率補助,,既存・継続,MID,勝18.3%（差+6.5pt） / 複38.7%（差+6.7pt） / 非勝利2-3着25.0%（差+2.0pt） / 単回104% / 年度 勝5/7・複3/7・相手2/7,勝率面の補助根拠。単勝妙味とは区別
吉岡辰弥,既存BJ,栗東芝＋前日坂路<65＋（前週坂路<=51 or 前週ウッドあり）,78,26.92307692307692,12.75797373358349,14.16510318949343,52.56410256410256,32.92682926829269,19.63727329580988,35.08771929824562,23.11827956989247,11.96943972835314,178.7179487179487,74.89681050656661,6,6,4,6,単🔥・軸,軸,単🔥,既存・継続,MID,勝26.9%（差+14.2pt） / 複52.6%（差+19.6pt） / 非勝利2-3着35.1%（差+12.0pt） / 単回179% / 年度 勝6/6・複6/6・相手4/6,馬連・ワイド・三連複などの軸候補補強
堀宣行,既存BJ,前日坂路<66＋当週W4F<56・W1F<12,131,27.48091603053436,17.40237691001698,10.07853912051737,46.56488549618321,38.87945670628184,7.685428789901373,26.31578947368421,26.00205549845837,0.3137339752258334,137.0229007633588,85.61969439728354,3,4,3,6,軸,軸,,既存・継続,HIGH,勝27.5%（差+10.1pt） / 複46.6%（差+7.7pt） / 非勝利2-3着26.3%（差+0.3pt） / 単回137% / 年度 勝3/6・複4/6・相手3/6,馬連・ワイド・三連複などの軸候補補強
森秀行,既存BJ,当週坂路<54＋LAP1<13・減速（LAP2>LAP1）,363,15.97796143250689,10.15873015873016,5.81923127377673,30.85399449035813,25.01587301587302,5.83812147448511,17.70491803278689,16.53710247349823,1.167815559288652,171.0743801652893,104.615873015873,6,6,3,7,単🔥・軸,単🔥,軸,既存・継続,HIGH,勝16.0%（差+5.8pt） / 複30.9%（差+5.8pt） / 非勝利2-3着17.7%（差+1.2pt） / 単回171% / 年度 勝6/7・複6/7・相手3/7,単勝候補の補強。Core勝率へ固定加点しない
野中賢二,既存BJ,ダート＋当週坂路LAP1<13・減速/同値（LAP1<=LAP2）,337,15.72700296735905,10.57304277643261,5.153960190926444,36.20178041543026,28.4907183212268,7.711062094203466,24.29577464788732,20.03610108303249,4.259673564854833,104.3026706231454,67.19128329297821,6,7,6,7,軸,軸,相手にも有効,既存・継続,HIGH,勝15.7%（差+5.2pt） / 複36.2%（差+7.7pt） / 非勝利2-3着24.3%（差+4.3pt） / 単回104% / 年度 勝6/7・複7/7・相手6/7,馬連・ワイド・三連複などの軸候補補強
中竹和也,新規CN,前週土日坂路あり＋当週坂路<52,121,16.52892561983471,7.426597582037997,9.102328037796712,30.57851239669421,24.52504317789292,6.053469218801297,16.83168316831683,18.47014925373134,-1.63846608541451,157.4380165289256,71.89982728842833,5,5,3,7,単🔥・軸,単🔥,軸,新規・正式候補,HIGH,勝16.5%（差+9.1pt） / 複30.6%（差+6.1pt） / 非勝利2-3着16.8%（差-1.6pt） / 単回157% / 年度 勝5/7・複5/7・相手3/7,単勝候補の補強。Core勝率へ固定加点しない
新谷功一,新規CN,当週坂路<52＋A2/B2/A3/B3,53,26.41509433962264,8.7893864013267,17.62570793829594,41.50943396226416,25.12437810945273,16.38505585281142,20.51282051282051,17.90909090909091,2.603729603729604,151.1320754716981,59.39469320066335,4,7,4,7,軸・単🔥,軸,単🔥候補（勝率年度4/7）,新規・有力候補,MID,勝26.4%（差+17.6pt） / 複41.5%（差+16.4pt） / 非勝利2-3着20.5%（差+2.6pt） / 単回151% / 年度 勝4/7・複7/7・相手4/7,馬連・ワイド・三連複などの軸候補補強
大久保龍志,新規CN,当週坂路A3またはB3,48,22.91666666666667,13.57839459864966,9.338272068017003,47.91666666666666,32.40810202550637,15.50856464116029,32.43243243243244,21.78819444444444,10.64423798798799,86.66666666666667,83.74343585896474,5,6,5,7,軸,軸,相手にも有効,新規・有力候補,LOW,勝22.9%（差+9.3pt） / 複47.9%（差+15.5pt） / 非勝利2-3着32.4%（差+10.6pt） / 単回87% / 年度 勝5/7・複6/7・相手5/7,馬連・ワイド・三連複などの軸候補補強
橋口慎介,新規CN,当週坂路<54＋A2またはB2,500,11.4,9.735849056603774,1.664150943396226,31.2,29.13207547169811,2.067924528301887,22.34762979683973,21.48829431438127,0.8593354824584587,96.54000000000001,76.23396226415095,5,5,5,7,○ 勝率補助,○勝率補助,,新規・補助候補,HIGH,勝11.4%（差+1.7pt） / 複31.2%（差+2.1pt） / 非勝利2-3着22.3%（差+0.9pt） / 単回97% / 年度 勝5/7・複5/7・相手5/7,勝率面の補助根拠。単勝妙味とは区別
